AI,AREA_MN,CONTAG,DEM,ERF,BUA proportion,NDVI,PD,Population density,Road network density,Soil permeability,Green space ratio,Drainage network density
0.352423175,0.249471928,0.85141864,0.131705051,0.663978235,0.838824582,0.307872719,0.342841851,0.916592447,0.878601391,0.137994475,0.535655961,0.228152101
0.382843888,0.307453538,0.822086738,0.06906425,0.322902818,0.809306629,0.478781352,0.438108166,0.798247078,0.936420667,0.320951321,0.266467066,0.009117189
0.794219073,0.739165359,0.379817949,0.110883375,0.326365665,0.60746555,0.528345448,0.802856407,0.81948472,0.828689566,0.266656331,0.477953185,0.185901712
0.62350196,0.499530769,0.604380445,0.562508137,0.080604249,0.936082862,0.421082409,0.607494986,0.975462189,0.959635418,0.269695578,0.411812738,0.238825884
0.693335462,0.558389582,0.565065109,0.066567967,0.068086811,0.910893505,0.48465387,0.687756679,0.988277253,0.972212559,0.128599252,0.622482308,0.130976206
0.571648312,0.480775322,0.641177505,0.020021263,0.615867361,0.904152769,0.427996014,0.567769137,0.937800694,0.962773876,0.360123016,0.39793141,0.14698688
0.948796932,0.927492302,0.115899629,0.004083383,0.374574819,0.667779717,0.558462114,0.947685925,0.9284241,0.933017971,0.296681706,0.400381056,0.168556816
0.543511539,0.432393015,0.644932502,0.412018553,0.272791547,0.972333385,0.300384252,0.533440516,0.97003167,0.973492957,0.271681979,0.268916712,0.115410274
0.757550451,0.713803436,0.380068818,0.022602602,0.59803913,0.898573901,0.319299689,0.75404155,0.958489399,0.926882579,0.246065713,0.562057703,0.399822104
0.492451851,0.416241268,0.656700421,0.007984251,0.694264478,0.35508574,0.694878942,0.510928748,0.766851981,0.672170711,0.403961881,0.601524224,0.86724483
0.982278967,0.978174458,0.026111199,0.03186292,0.352214619,0.817601821,0.271109071,0.981693246,0.88416534,0.923350369,0.261270001,0.328524769,0.158105404
0.586051353,0.447422299,0.685251713,0.347956061,0.368317071,0.958492593,0.239854078,0.57820966,0.946201224,0.963320627,0.416494631,0.534022863,0.209028241
